name,short_name,doi,url,downloads,views,date,
PASTIS-R - Panoptic Segmentation of Radar and Optical Satellite image TIme Series,PASTIS-R,10.5281/zenodo.5735645,https://zenodo.org/records/5735646,6918,2336,2021,
"Georeferencing the ""Atlas du plan général de la ville de Paris par Edme Verniquet""",Georeferencing Verniquet,10.7910/DVN/ZKRJFA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZKRJFA,5720,,2023,
"A GIS reconstruction of the Cassini ""Carte de France"" sheet No. 52","Cassini ""Carte de France"" sheet No. 52",10.7910/DVN/XP8J6P,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XP8J6P,5376,,2019,
PASTIS - Panoptic Segmentation of Satellite image TIme Series,PASTIS,10.5281/zenodo.5012941,https://zenodo.org/records/5012942,3957,5375,2021,
The 18th century Cassini roads and cities dataset,Cassini roads and cities dataset,10.7910/DVN/28674,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XP8J6P,2402,,2015,
L'Alpe d'Huez: a dataset to benchmark topographic map generalisation,L'Alpe d'Huez,10.5281/zenodo.5749324,https://zenodo.org/records/5749324,678,483,2021,
PASTIS-R PixelSet - Radar and Optical Satellite Image Time Series in Pixel-Set format,PASTIS-R PixelSet,10.5281/zenodo.5745150,https://zenodo.org/records/5745151,563,1179,2021,
Parcel Manager Data set,Parcel Manager Data set,10.17632/zscjbdvr9v.3,https://data.mendeley.com/datasets/zscjbdvr9v/3,495,130,2022,
"""Verniquet map"" and ""Jacoubet Atlas"" Paris street networks",Verniquet & Jacoubet Paris street networks,10.7910/DVN/CCESX4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28674,358,,2019,
ICDAR 2021 Competition on Historical Map Segmentation — Dataset,ICDAR 2021 Competition Dataset,10.5281/zenodo.4817662,https://zenodo.org/records/4817662,147,962,2021,
A Dataset of French Trade Directories from the 19th Century (FTD),FTD,10.5281/zenodo.6394464,https://zenodo.org/records/6394464,85,835,2022,
ModelNet10 - Scans,ModelNet10 - Scans,10.5281/zenodo.5940164,https://zenodo.org/records/5940164,77,465,2022,
"Dataset for ICDAR 21 paper ""Vectorization of Historical Maps Using Deep Edge Filtering and Closed Shape Extraction""",ICDAR 21 paper dataset,10.5281/zenodo.8325475,https://zenodo.org/records/10567765,50,450,2021,
ModelNet10 - Watertight,ModelNet10 - Watertight,10.5281/zenodo.5920479,https://zenodo.org/records/5920479,48,376,2022,
ICDAR 2021 Competition on Historical Map Segmentation — Submissions from participants,ICDAR 2021 Competition Submissions from participants,10.5281/zenodo.4818227,https://zenodo.org/records/4818228,45,136,2021,
FogDetector survey raw data,FogDetector survey raw data,10.5281/zenodo.7561925,https://zenodo.org/records/7561925,20,134,2023,
AlpineBends – A Benchmark for Deep Learning-Based Generalisation,AlpineBends ,10.5281/zenodo.5257686,https://zenodo.org/records/5257686,15,292,2021,
"NER models from ""A Benchmark of Named Entity Recognition Approaches in Historical Documents Application to 19th Century French Directories"", DAS22 workshop on document analysis systems.",DAS22 NER models,10.5281/zenodo.6576008,https://zenodo.org/records/6576008,13,260,2022,
A Dataset of French Trade Directories from the 19th Century for Nested NER task,FTD Nested NER task,10.5281/zenodo.7864174,https://zenodo.org/records/8167628,13,305,2023,
Multi-Landcover translation network (MLCT-Net),MLCT-Net,10.5281/zenodo.7019838,https://zenodo.org/records/7019838,9,56,2022,
Données Stéréopolis - Projet I-site URBAN VISION,Données Stéréopolis,10.57745/BOK4I4,https://entrepot.recherche.data.gouv.fr/file.xhtml?persistentId=doi:10.57745/BOK4I4,2,,2023,
ATLANTIS Ontology,ATLANTIS Ontology,10.5281/zenodo.10568807,https://zenodo.org/records/10568807,1,12,2022,
ATLANTIS Dataset,ATLANTIS Dataset,10.5281/zenodo.10568800,https://zenodo.org/records/10568801,0,28,2023,
"Panoptic Agricultural Satellite TIme Series : optical time series, radar time series and very high resolution image ",PASTIS-HD ,,https://huggingface.co/datasets/IGNF/PASTIS-HD,0,,2024,https://huggingface.co/api/datasets/IGNF/PASTIS-HD
TreeSatAI-Time-Series ,TreeSatAI-Time-Series ,,https://huggingface.co/datasets/IGNF/TreeSatAI-Time-Series,0,,2024,https://huggingface.co/api/datasets/IGNF/TreeSatAI-Time-Series
FLAIR land-cover semantic segmentation ,FLAIR,,https://huggingface.co/datasets/IGNF/FLAIR,0,,2023,https://huggingface.co/api/datasets/IGNF/FLAIR
