"name","nb","type"
"undefined",380,
"Revue Française de Photogrammétrie et de Télédétection",12,"national journal"
"ISPRS International Journal of Geo-Information",11,"journal"
"Remote Sensing",11,"journal"
"International Journal of Cartography",9,"journal"
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",6,"proceedings"
"ISPRS Journal of Photogrammetry and Remote Sensing",6,"journal"
"International Journal of Geographical Information Science",4,"journal"
"Photogrammetric engineering and remote sensing",4,"journal"
"Remote Sensing of Environment",4,"journal"
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",4,"journal"
"ISPRS Annals of Photogrammetry, Remote Sensing and Spatial Information Sciences",4,"proceedings"
"Cartography and Geographic Information Science",3,"journal"
"Pattern Recognition",3,"journal"
"The Cartographic Journal",3,"journal"
"IEEE Transactions on Geoscience and Remote Sensing",3,"journal"
"Proceedings of the ICA",3,"proceedings"
"Revue Internationale de Géomatique",3,"national journal"
"Computers, Environment and Urban Systems",2,"journal"
"Journal of Spatial Information Science",2,"journal"
"Environmental Monitoring and Assessment",2,"journal"
"Earth System Science Data",2,"journal"
"Revue XYZ",2,"journal"
"Cybergeo : Revue européenne de géographie / European journal of geography",2,"journal"
"AGILE: GIScience Series",2,"proceedings"
"Tectonics",2,"journal"
"Revue française des sciences de l'information et de la communication",2,"national journal"
"Atmospheric Chemistry and Physics",2,"journal"
"Kinetic and Related Models",2,"journal"
"Physical Review Letters",2,"journal"
"Sensors",2,"journal"
"Annales des mines - Série Responsabilité et environnement",1,
"Cartes & géomatique",1,
"Flux - Cahiers scientifiques internationaux Réseaux et territoires",1,
"Geo-spatial Information Science",1,
"Animals",1,
"Journal of Cultural Heritage",1,
"The Cryosphere",1,
"Noise Mapping",1,
"Géographie et cultures",1,
"Agricultural Water Management",1,
"International Journal of Applied Earth Observation and Geoinformation",1,
"Proceedings of the National Academy of Sciences of the United States of America",1,
"SN Computer Science",1,
"Landscape and Urban Planning",1,
"Journal of Geovisualization and Spatial Analysis",1,
"Transportation Research Procedia",1,
"Transactions in GIS",1,
"Norois",1,
"Advances in Space Research",1,
"Journal of Urban Management",1,
"Arabian Journal of Geosciences",1,
"International Journal of Computer Vision",1,
"Remote Sensing Letters",1,
"Structure and Infrastructure Engineering",1,
"Computer Graphics Forum",1,
"Canadian Journal of Forest Research",1,
"Pattern Recognition Letters",1,
"Urban Climate",1,
"Algorithms",1,
"International Journal of Data Science and Analytics",1,
"Multimedia Tools and Applications",1,
"Advances in Remote Sensing",1,
"International Journal of Digital Earth",1,
"ACM Transactions on Spatial Algorithms and Systems",1,
"Proceedings of the ACM on Human-Computer Interaction",1,
"Cartographica",1,
"Image Processing On Line",1,
"Scandinavian Journal of Statistics",1,
"Surveys in Geophysics",1,
"River Research and Applications",1,
"Space Science Reviews",1,
"Networks and Spatial Economics",1,
"Pattern Analysis and Applications",1,
"Atmospheric Measurement Techniques",1,
"Computer Vision and Image Understanding",1,
"Natural Hazards and Earth System Sciences",1,
"Nature Geoscience",1,
"Classical and Quantum Gravity",1,
"Journal of Geography, Environment and Earth Science International",1,
"Quarterly Journal of the Royal Meteorological Society",1,
"Land",1,
"Journal of Structural Engineering",1,
"Revue des politiques sociales et familiales",1,
"Humanités numériques",1,
"Sciences Eaux & Territoires",1,
"ISPRS International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1,
"2021 International Conference on 3D Vision (3DV)",1,
"The 27th IEEE International Conference on Image Processing",1,
