3d,3d modeling,three dimensional computer graphics,three-dimensional modeling,3d geometry,3-d environments,3-d-analysis,3d data,3d feature representation,3d models,3d scenes reconstruction,3d segmentation,3d surface,3d segment,3d annotations,3d analysis,3d characterization,3d from multi-view and sensor,3d laser scanning,3d navigation,3d networks,3d printers,3d scanning printing,3d web applications,3d-modeling,3d-scanning,mesh,,,
agriculture,crop,crop mapping,crop rotation,crop type mappings,wheat crop,crops,wheat,cropland,soil,agricultural fields,agricultural robots,agricultural practices,common agricultural policy,agricultural water,soil-moisture retrieval,,,,,,,,,,,,,,
algorithm,algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antennas,microwave antennas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
architecture,architectural design,architectural images,,,,,,,,,,,,,,,,,,,,,,,,,,,
artificial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere,atmospheric effects,atmospheric phenomena,atmospheric pressure,atmospheric temperature,atmospheric correction,,,,,,,,,,,,,,,,,,,,,,,,
automation,semi-automatics,automated approach,automated construction,automated geotagging,automated machines,automated map production,automatic analysis,automatic compilation,automatic generation,automatic method,automatic modeling,automatic,,,,,,,,,,,,,,,,,
buildings,3d building models,bim,3d buildings,building construction,building blockes,building displacement,building energy-consumption,building footprints,building models,building,building configuration,building facades,building generation,building information modelling,building life cycle management,building materials,building model,building reflectance,,,,,,,,,,,
carbon,carbon sink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change,change detection algorithms,spatial and temporal changes,,,,,,,,,,,,,,,,,,,,,,,,,,,
city model,city information model,3d city model,3d urban modeling,city models,citygml,city,city scale,cim,3d urban modeling,,,,,,,,,,,,,,,,,,,,
citizen science,volunteered geographic information,cityzen science,vgi,crowdsourcing,citizen sensing,citizen science,community science,crowd and community sourcing,crowd-sourced,crowdsourced gnss traces,crowdsourced gps traces,crowdsourced landmarks,crowdsourced routes,public-participation,,,,,,,,,,,,,,,
classification,classification methods,classification (of information),image classification,classification algorithm,automated classification,classification models,classification results,classification tasks,,,,,,,,,,,,,,,,,,,,,
climate,climate change mitigation,climate data,climate information,climate modeling,climate monitoring,climate models,climate change,,,,,,,,,,,,,,,,,,,,,,
data,large dataset,data set,large datasets,big data,dataset,data quality assessment,spatial data,benchmark datasets,database,high-dimensional data,datasets,large datasets hci/interfaces,,,,,,,,,,,,,,,,,
decision making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deep learning,recurrent neural networks,convolutional neural networks,artificial neural networks,artificial neural network,neural-networks,deep neural networks,network architecture,neural-network,deep learning,neural networks,pattern-recognition,pattern recognition,generative adversarial networks,,,,,,,,,,,,,,,,
digital humanities,computational humanities,computational humanity,heritage,digital heritage,cultural heritage,cultural heritages,human,archival image,archive,audiovisual archive,historical documents,historical maps,history,historical images,humanities,conservation,,,,,,,,,,,,,
digital twin,digital twins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
displacement,displacement measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsm/dtm,elevation,digital elevation models,elevation data,digital elevation model,digital terrain model,digital surface models,digital elevation model (dem),digital surface model (dsm),,,,,,,,,,,,,,,,,,,,,
earthquake,postseismic deformation,sumatra-andaman earthquake,central italy earthquakes,coseismic,tectonics,earthquake event,slab,,,,,,,,,,,,,,,,,,,,,,
energy,energy use,energy minimization,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment,environmental management,environmental protection,environments,maritime environment,environmental monitoring,biodiversity,sea,ocean,water,continental water,shallow waters,snow water equivalent,water productivity,water storage,,,,,,,,,,,,,,,
error,systematic errors,systematic-error,errors,error detection,,,,,,,,,,,,,,,,,,,,,,,,,
forest,forestry,tropical forest,deforestation,boreal forest,forests,amazon forest,canopy,canopy structure,canopy model,,,,,,,,,,,,,,,,,,,,
fusion,data fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generalization,map generalization,generalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation,generate,mesh generation,,,,,,,,,,,,,,,,,,,,,,,,,,,
gis,geographical information,geographical information systems,geographic information systems,geographic information,geographics,giscience,,,,,,,,,,,,,,,,,,,,,,,
global positioning system,global navigation positioning system,global navigation satellite systems,,,,,,,,,,,,,,,,,,,,,,,,,,,
health,health data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image,imagery,image features,image synthesis,image processing,image analysis,stereo image processing,image enhancement,image retrieval,cbir,content based retrieval,content based image retrieval,content-based image retrieval,photography,analog photography,image content,image correlations,image descriptions,image descriptors,image quality,image sensors,image-based localizations,image-based rendering,,,,,,,
information systems,information management,information use,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledge,knowledge acquisition,knowledge structures,knowledge graph,knowledge acquisition,,,,,,,,,,,,,,,,,,,,,,,,,
land use/cover,land use,land cover,land cover mapping,land use and land cover,land cover maps,land-cover change,land-cover classification,land-use,land-cover,cover,land use change,cover change detection,,,,,,,,,,,,,,,,,
language,language model,language processing techniques,natural languages,natural language processing systems,text,nlp,natural language processing,,,,,,,,,,,,,,,,,,,,,,
machine learning,machine-learning,learning systems,clustering algorithms,supervised learning,learning methods,learning models,learning-based methods,active learning,learning,machine learning methods,random forest,random forests,random forest classifier,random forest classification,decision,decision trees,clusterings,,,,,,,,,,,,
mapping,maps,mapping method,map,,,,,,,,,,,,,,,,,,,,,,,,,,
model,models,modeling,modelling,,,,,,,,,,,,,,,,,,,,,,,,,,
optimisation,optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pattern,abnormal patterns,patterns,editing patterns,,,,,,,,,,,,,,,,,,,,,,,,,,
photogrammetry,photogrammetric software,close range photogrammetry,aerial photogrammetry,,,,,,,,,,,,,,,,,,,,,,,,,,
point cloud,3d point cloud,point-clouds,lidar point clouds,lidar,airborne lidar data,point,point clouds,airborne lidar,,,,,,,,,,,,,,,,,,,,,
quality,quality assessment,quality control,data quality,data quality assessment,accuracy,accuracy assessment,,,,,,,,,,,,,,,,,,,,,,,
radar,optical radar,space-based radar,radar measurement,radar data,radar imaging,synthetic aperture radar,radar altimetry,radar cross section,radar imagery,radar polarimetry,sar data,sar interferometry,radar interferometry,sar,ascat,backscattering,backscattering coefficient,backscatter,,,,,,,,,,,
radiometry,radiometrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reconstruction,image reconstruction,3d reconstruction,surface reconstruction,surfaces reconstruction,mesh reconstruction,structure-from-motion,,,,,,,,,,,,,,,,,,,,,,,
remote sensing,remote-sensing,remote sensing data,optical remote sensing,remote,remote-sensing imagery,remote-sensing techniques,remote-sensing data,remote sensing images,radar remote sensing,airborne sensing,airborne data,airborne imagery,airborne sensing,aerial photography,sensor,sensors,satellite,satellites,satellite data,satellite sensor,satellite images,satellite imagery,sentinel,sentinel-1,sentinel-2,hyperspectral imaging,hyperspectral,hyperspectral unmixing,multispectral
resolution,image resolution,spatial resolution,high spatial resolution,very high resolution,very high spatial resolutions,very high resolution (vhr) image,very-high spatial resolutions,,,,,,,,,,,,,,,,,,,,,,
road,road network,roads and streets,urban streets,street,street canyons,,,,,,,,,,,,,,,,,,,,,,,,
season,seasonal-variations,seasonality,dry-season length,,,,,,,,,,,,,,,,,,,,,,,,,,
segmentation,image segmentation,semantic segmentation,instance segmentation,panoptic segmentation,,,,,,,,,,,,,,,,,,,,,,,,,
semantics,semantic signatures,semantic analysis,ontology,ontology's,application ontology,ontologies,linked data,data linking,interlinking,,,,,,,,,,,,,,,,,,,,
simulation,simulation and analysis,extensive simulations,,,,,,,,,,,,,,,,,,,,,,,,,,,
software,computer software,software engineering,open source software,computer software maintenance,tools,,,,,,,,,,,,,,,,,,,,,,,,
system,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time series,time series analysis,times series,image time-series,,,,,,,,,,,,,,,,,,,,,,,,,,
topography,topographic information,topographic map,,,,,,,,,,,,,,,,,,,,,,,,,,,
triangulation,delau-nay triangulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav,unmanned aerial vehicles (uav),unmanned vehicle,autonomous vehicles,aerial vehicles (uavs),,,,,,,,,,,,,,,,,,,,,,,,,
urban development,urban environment,urban environments,urban planning,urban morphology,urban,urban growth,urban area,urban areas,,,,,,,,,,,,,,,,,,,,,
vegetation,vegetation mapping,normalized difference vegetation index,vegetation water contents (vwc),trees,tree species classification,individual tree,ndvi,vegetation cover,vegetation indexes,biomass,aboveground biomass,,,,,,,,,,,,,,,,,,
visualisation,visualization,data visualization,geo visualization,geo visualizations,visualizations,3d visualization,geovisualization,3d rendering,,,,,,,,,,,,,,,,,,,,,
